geocode,municipio,casos_total,casos_est,temp_min_media,temp_med_media,temp_max_media,umid_min_media,umid_med_media,umid_max_media,populacao,pib_bruto_mil,pct_esgoto,pct_agua,pct_lixo_coletado,area_km2,pib_percapita,incidencia,dens_demog,grupo
3500105,Adamantina,2496,2496,19.62170934065935,24.381883791208796,29.747282417582422,43.52298516483516,61.561038186813185,78.7160607142857,35673,1705895,97.04041816977103,97.01833173820216,98.63800338658618,413.02007496177345,47820.340313402296,6996.88840299386,86.37110436654119,1
3500204,Adolfo,340,340,19.80715714285714,24.36441758241759,29.513481868131876,44.552453846153846,63.25125,81.15873571428571,4505,215283,92.96969696969697,88.42424242424242,98.06060606060606,211.48664834753077,47787.569367369586,7547.169811320754,21.301581140938247,1
3500303,Aguaí,2430,2430,16.996573626373632,21.970835989010986,27.489974175824184,44.33068901098902,65.39724862637362,85.0845815934066,32886,1773843,93.22299651567944,93.36236933797909,94.97386759581882,476.08093789891916,53939.15343915344,7389.162561576355,69.07648969340232,1
3500402,Águas da Prata,173,173,15.080790934065933,19.579716483516485,24.64598653846154,48.60692445054946,68.96592664835165,86.66298901098901,7463,272359,88.37455830388693,89.85865724381625,98.48056537102472,143.44779013607544,36494.573227924426,2318.102639689133,52.02589731720895,1
3500501,Águas de Lindóia,147,147,16.01149587912088,20.48414752747252,25.760183241758238,46.46078983516484,68.09996730769231,85.83655659340658,18257,801115,92.76364171201648,94.10207383438741,99.29401382556259,60.13376805027758,43879.88168921509,805.1706194884155,303.6064526130377,1
3500550,Águas de Santa Bárbara,1012,1012,17.112707967032957,21.302407692307693,26.367803846153848,51.042295879120886,70.77986483516484,87.37022719780221,7460,375562,60.25830258302584,87.38007380073802,96.93726937269372,405.4804592519696,50343.43163538874,13565.6836461126,18.397927273147044,2
3500600,Águas de São Pedro,579,579,17.148326098901094,22.12668406593406,27.896148076923076,44.82463296703296,67.46072142857143,88.41810274725275,2928,185390,99.65307892454467,100,100,3.338753906146884,63316.256830601094,19774.590163934427,876.9738897525042,1
3500709,Agudos,1889,1889,17.502286263736266,21.928366483516488,27.16798021978022,48.209138186813185,68.1651901098901,85.70676978021979,38988,3415809,94.2795299938157,95.09894867037724,97.92053184910327,969.3541240127869,87611.80363188674,4845.080537601313,40.22059537808879,1
3500758,Alambari,108,108,16.193790384615383,20.188348351648358,25.420410714285712,52.83345741758242,76.03703406593407,92.83481153846155,6373,160252,52.73492286115007,81.72043010752688,97.10144927536231,159.91531581248344,25145.4573983995,1694.6493017417226,39.8523428954921,2
3500808,Alfredo Marcondes,416,416,19.727721428571428,24.240509340659347,29.431357692307696,44.31057060439561,61.84013818681318,78.12068104395605,4574,158137,84.93626882966396,88.00695249130939,94.4380069524913,119.10286137170658,34573.02142544818,9094.88412767818,38.40377928222112,1
3500907,Altair,201,201,19.960124450549447,24.632740934065936,29.916593131868133,41.054851098901096,59.6062945054945,77.58463351648352,3467,210529,87.01095461658842,83.95931142410016,91.62754303599374,313.86002796101155,60723.68041534468,5797.5194692817995,11.046325403471508,1
3501004,Altinópolis,303,303,17.397757417582415,22.19986895604395,27.441345329670334,45.772807692307694,65.23437307692308,83.63813846153846,17197,946538,91.04968739717012,91.26357354392893,95.72227706482396,931.382427315751,55040.87922312031,1761.935221259522,18.463951536601183,1
3501103,Alto Alegre,516,516,19.076488461538464,23.828904120879116,29.151323076923077,45.258212087912085,63.52303901098901,81.17845824175824,3874,172396,82.93807641633728,81.62055335968378,93.08300395256917,319.1483268478687,44500.77439339185,13319.566339700566,12.138556508386943,1
3501152,Alumínio,575,575,15.817079945054944,19.764679670329674,24.819746428571428,52.269730769230776,74.6117804945055,91.46015082417583,17607,3438994,74.04104979811575,90.9656796769852,99.91588156123822,83.8258288875298,195319.70239109444,3265.746578065542,210.04265909047606,2
3501202,Álvares Florence,461,461,20.04602472527472,24.818500274725274,30.21099368131868,41.21578928571429,59.46407197802198,77.25731071428571,3979,175598,68.88454011741683,68.94977168949772,82.90932811480756,363.4215671795021,44131.18874088967,11585.825584317667,10.948717300629223,1
3501301,Álvares Machado,1310,1310,19.55671291208791,23.94750686813186,29.066468406593405,45.58552692307692,63.1148793956044,79.05265961538461,28386,859771,89.47208430438748,90.41442902016415,95.83544432059986,348.1316939162064,30288.55773973085,4614.951032198971,81.5381089859413,1
3501400,Álvaro de Carvalho,260,260,18.541725274725277,23.016426373626373,28.17720769230769,46.52116373626374,65.17009038461538,82.10932527472528,4901,69377,93.32191780821918,91.86643835616438,96.1472602739726,153.9386050685724,14155.6825137727,5305.039787798409,31.83736787673784,1
3501509,Alvinlândia,93,93,17.899290109890106,22.298164835164833,27.439041483516483,48.88020494505494,67.74267142857143,84.49475247252747,2919,82613,93.94240317775571,93.24726911618669,99.30486593843099,85.0867243417303,28301.8156903049,3186.022610483042,34.30617434838061,1
3501608,Americana,28402,28402,17.07765769230769,21.870497527472523,27.52521895604395,46.152447527472525,67.99569725274725,87.18738241758243,247571,17600566,98.29157558432823,95.71100274648282,99.92377108906452,134.34325413758066,71093.00362320304,11472.264522096692,1842.8242012543706,1
3501707,Américo Brasiliense,4126,4126,17.9338945054945,22.750876648351642,28.156245329670337,43.27784615384616,62.53640961538462,81.17073763736265,33708,1504962,99.24634124967136,99.33397598808168,99.82473052317938,123.52004414498752,44647.027411890354,12240.417704995847,272.8949801898843,1
3501806,Américo de Campos,486,486,20.04340302197803,24.89575412087912,30.383543956043958,40.53039285714285,59.12710164835165,77.30483406593406,5981,175848,89.15713680643795,89.15713680643795,93.05379076662432,253.5760585827046,29401.10349439893,8125.731483029594,23.58661158087714,1
3501905,Amparo,17806,17806,16.230743956043955,20.60012802197803,25.89366593406593,48.04451016483516,69.4792076923077,86.60202197802198,69792,6698469,85.95810705973624,89.82483361234739,98.93021926421952,446.6192984929993,95977.60488308115,25512.9527739569,156.26731812864998,1
3502002,Analândia,275,275,16.593195329670323,21.280200000000008,26.637932692307697,47.385446153846154,67.68516703296703,86.20692884615384,4694,266292,83.68076235854676,85.22930315664085,94.22275163787968,326.5253840848519,56730.29399233063,5858.542820622071,14.37560517126657,1
3502101,Andradina,3276,3276,20.59667472527472,25.12566043956044,30.268103571428572,43.19277884615385,62.186231593406596,80.35777499999999,61625,4464940,93.64702660763999,95.37218748573775,96.41732463146366,967.0727440579184,72453.38742393508,5316.024340770791,63.72323114124417,1
3502200,Angatuba,649,649,16.321555769230766,20.36324752747252,25.619372527472528,52.39908598901099,75.2186598901099,92.34309423076922,24573,1776475,70.05769457200047,83.4216413517014,92.06405274932297,1029.506638598663,72293.77772351768,2641.1101615594353,23.868714468367212,2
3502309,Anhembi,428,428,17.336882417582427,22.05836208791209,27.710976923076924,45.60861978021978,68.9233739010989,89.55084752747253,5766,315144,81.25608568646543,78.82181110029211,97.46835443037975,738.956371617476,54655.56711758585,7422.823447797433,7.802896383962429,1
3502408,Anhumas,612,612,19.287759340659342,23.46994203296703,28.42133186813187,48.013537637362646,65.53834670329671,80.902189010989,4118,132376,86.02295746117488,85.34773801485483,92.91019581363943,321.35529715483483,32145.70179698883,14861.58329286061,12.814476800162634,1
3502507,Aparecida,300,300,15.931966758241753,20.166840934065938,25.286136538461534,49.81340934065935,73.31415274725275,91.85914505494506,33141,1369699,96.36571629707849,98.53044702569518,98.56564589933122,121.33556385084411,41329.44087384207,905.2231375033946,273.1350887423221,1
3502606,Aparecida d'Oeste,448,448,20.796046153846156,25.382025,30.590436813186813,41.517972252747256,60.47443214285714,78.5916478021978,4112,225794,83.78712871287128,83.78712871287128,93.6881188118812,179.33189177609316,54910.992217898834,10894.941634241246,22.929552347186988,1
3502705,Apiaí,224,224,14.563193956043959,17.91945796703296,22.48351428571429,64.78871758241758,85.30653489010989,97.22718516483516,24857,1235626,58.716844253003856,80.6393108138744,92.55270913625029,976.4449986409434,49709.37764010138,901.1546043368065,25.456630977266517,2
3502754,Araçariguama,1755,1755,15.655596703296698,19.57110494505494,24.633359065934066,53.30539120879121,75.7664335164835,92.06903186813187,22314,4832077,60.77848357886201,79.05122313826193,95.51290714961482,145.639374817577,216549.11714618624,7865.017477816617,153.21406060654797,2
3502804,Araçatuba,35879,35879,20.023034065934066,24.555214835164836,29.670439010989014,45.33356565934066,63.558506868131865,81.04257884615384,208415,11457740,97.40401676652866,97.30501195772366,99.37768405894,1170.5468085502239,54975.601564186836,17215.171652712135,178.04926593079313,1
3502903,Araçoiaba da Serra,632,632,16.255030219780224,20.441026098901098,25.769626923076924,50.76675137362636,74.25751181318681,92.00074450549451,33832,1523194,37.56155544235014,84.84462557310239,99.21888266259127,256.31280801763535,45022.286592575074,1868.0539134547175,131.99496451879307,2
3503000,Aramina,58,58,19.177834890109892,23.97322197802198,29.15723708791209,41.89821785714286,61.421842032967035,80.81917225274725,5535,219179,94.35564435564436,93.65634365634365,98.20179820179821,203.3249299169956,39598.73532068654,1047.877145438121,27.222436531809368,1
3503109,Arandu,128,128,17.165379670329667,20.909506868131867,25.65460879120879,53.536472527472526,74.01448928571429,90.42496538461539,7076,217238,78.17876626101553,77.88501888375997,97.5660931598825,286.37076202646597,30700.678349349917,1808.9315997738834,24.709226423562214,2
3503158,Arapeí,6,6,15.424856318681313,19.157459890109898,23.576388461538468,58.41250631868132,78.66232582417584,94.07203846153845,2355,53236,72.54237288135593,80.33898305084746,96.72316384180792,157.50693160939642,22605.52016985138,254.77707006369425,14.95172292378977,2
3503208,Araraquara,25014,25014,17.869535989010988,22.70197362637363,28.11207472527473,43.829147252747255,63.0064304945055,81.36519505494506,253474,14689500,98.73097544102387,98.55262020062263,99.58708059494984,1006.957375875644,57952.68942771251,9868.467771842475,251.7226707630803,1
3503307,Araras,6778,6778,16.826632417582417,21.66355989010989,27.17686346153846,47.361379395604395,68.26459752747252,87.2218239010989,135744,10022873,97.13177971401176,96.35427523241756,99.48305332054863,646.451685750937,73836.58209570957,4993.222536539369,209.98320987022538,1
